abspath.c path 	adlist.c list 
working attempt 	success copy 
explicitly path exist 	original list 
working caught 	returned dup 
error caller immediately 	method list 
compare unmerged 	dup 
paths stage pass 	method function 
original pathspec 	used copy 
parsed diff options 	node otherwise 
unspecified told 	pointer original 
ignore adding removals 	node used 
takes arguments 	copied 
given turn git 	node original 
pathspec git 	list success 
pathspec check 	error never 
pathspec match files 	modified search 
block enabling 	list node 
magic git porcelain 	matching 
excludes picks 	given key 
paths tracked file 	match performed 
exists assumes 	match method 
exact match advice.c 	list match 
advice push 	method match 
update rejected advice 	method 
push non 	pointer every 
current advice push 	node directly 
non matching 	compared key 
advice push already 	pointer success 
exists advice 	first matching 
push fetch first 	node 
advice push 	pointer returned 
needs force advice 	search starts 
status hints 	head matching 
advice status 	node exists 
option advice commit 	returned element 
merge advice 	specified 
resolve conflict advice 	zero index 
identity advice 	head element 
detached head advice 	next head 
upstream failure 	negative integers 
advice name warning 	used order 
advice hints 	count 
name preference advice 	tail last 
buf name 	element penultimate 
fmt start strbuf 	index range 
vaddf end 	returned rotate 
strchrnul strbuf release 	list removing 
skip prefix 	tail 
size strcmp git 	node inserting 
config error 	head detach 
advise error resolve 	current tail 
conflict die 	move head 
error advise 	adlist.h list 
die make backward 	list 
compatibility message 	list list 
used git commit 	old node 
fails commands 	list node 
merge advice.h advice 	list direction 
push update 	iter iter 
rejected advice push 	orig 
non current 	list key 
advice push non 	list index 
matching advice 	list list 
push already exists 	list adlist 
advice push 	doubly linked 
fetch first advice 	list 
push needs 	implementation copyright 
force advice status 	salvatore sanfilippo 
hints advice 	antirez gmail 
status option advice 	dot rights 
commit merge 	reserved redistribution 
advice resolve 	use 
conflict advice identity 	source binary 
advice detached 	forms without 
head advice upstream 	modification permitted 
failure advice 	provided following 
name warning advice 	conditions met 
hints advice 	redistributions 
name advice alias.c 	source code 
key split 	must retain 
cmdline errors cmdline 	copyright notice 
argv src 	list conditions 
dst size quoted 	following disclaimer 
split cmdline 	redistributions 
errno strbuf addf 	binary form 
git config 	must reproduce 
key valid git 	copyright notice 
config strbuf 	list conditions 
release alloc isspace 	following disclaimer 
isspace alloc 	documentation 
grow free 	materials provided 
free alloc grow 	distribution neither 
split skip 	name redis 
alloc.c blob commit 	names contributors 
tag count 	may used 
node size ret 	endorse 
blob state 	promote products 
state tag state 	derived software 
state obj 	without specific 
commit state count 	prior written 
name count 	permission software 
size xmalloc memset 	provided 
alloc node 	copyright holders 
alloc node alloc 	contributors express 
node alloc 	implied warranties 
node alloc node 	including limited 
alloc commit 	implied warranties 
index report 	merchantability 
report report report 	fitness particular 
report alloc 	purpose disclaimed 
specialized allocator objects 	shall copyright 
copyright linus 	owner contributors 
torvalds standard malloc 	liable direct 
free wastes 	indirect 
much space objects 	incidental special 
partly maintains 	exemplary consequential 
allocation infrastructure isn 	damages including 
needed since 	limited procurement 
never free descriptor 	substitute goods 
anyway even 	services 
ends maximal alignment 	loss use 
doesn know 	data profits 
alignment allocation total 	business interruption 
number nodes 	however caused 
allocated number nodes 	theory liability 
left current 	whether 
allocation first 	contract strict 
free node current 	liability tort 
allocation alloca.h 	including negligence 
am.c filename msg 	otherwise arising 
str dir 	way use 
cur last author 	software 
name author 	even advised 
email author date 	possibility damage 
msg msg 	node list 
len orig commit 	iterator data 
prec interactive 	structures used 
threeway quiet signoff 	currently 
utf keep 	functions implemented 
message scissors git 	macros prototypes 
apply opts 	directions iterators 
resolvemsg committer date 	adlist ae.c 
author date 	setsize loop 
ignore date allow 	loop 
rerere autoupdate 	loop setsize 
sign commit 	loop loop 
rebasing state dir 	loop mask 
gpgsign state 	proc client 
state path state 	data loop 
name state 	mask 
name state name 	loop seconds 
state fmt 	milliseconds milliseconds 
state state file 	sec cur 
trim key 	sec cur 
str state filename 	sec loop 
state state 	milliseconds 
state filename state 	proc client 
state state 	data finalizer 
ret state hook 	proc loop 
ret state 	prev loop 
invalid line msg 	nearest loop 
ret obj 	processed 
obj header regex 	max sec 
regex ret 	retval loop 
paths state 	flags numevents 
paths keep last 	shortest tvp 
state paths 	sec mask 
keep stdin mail 	rfired 
ret keep 	mask milliseconds 
subject printed str 	pfd retval 
state paths 	loop loop 
keep series dir 	beforesleep zmalloc 
series dir 	zmalloc zmalloc 
buf patches ret 	time 
keep str 	api create 
timestamp end split 	zfree zfree 
mail setup 	zfree api 
state head state 	resize zrealloc 
file head 	zrealloc api 
opt state cmdline 	free 
mine state 	zfree zfree 
state mail 	zfree api 
msg author name 	api del 
author date 	gettimeofday time 
author email ret 	zmalloc milliseconds 
commit mail 	finalizer 
state commit buffer 	proc zfree 
ident line 	time time 
author date msg 	time proc 
ident len 	milliseconds time 
ident split state 	search nearest 
commit rev 	timer 
info state head 	time api 
rev info 	poll rfile 
state mail commit 	proc wfile 
commit sha 	proc process 
state index file 	time events 
state index 	memset 
file state orig 	poll beforesleep 
status state 	process events 
index path 	api name 
orig rev info 	simple driven 
diff filter 	programming library 
str state parent 	originally 
commit ptr 	wrote code 
parents reflog msg 	jim loop 
author state 	jim tcl 
state reply msg 	interpreter later 
pager state 	translated form 
resume argv mail 	library 
apply status 	easy reuse 
skip advice amworkdir 	copyright salvatore 
state head 	sanfilippo antirez 
remote reset file 	gmail dot 
opts file 	rights reserved 
opts head remote 	redistribution 
head remote 	use source 
index index merge 	binary forms 
state head 	without modification 
state abort 	permitted provided 
safety head state 	following conditions 
curr head 	met 
orig head curr 	redistributions source 
head orig 	code must 
head curr branch 	retain copyright 
opt arg 	notice list 
unset opt status 	conditions following 
argc argv 	disclaimer 
prefix state binary 	redistributions binary 
keep patch 	form must 
format progress usage 	reproduce copyright 
options paths 	notice list 
stat die errno 	conditions following 
strchrnul isspace 	disclaimer 
memset xstrdup git 	documentation materials 
config git 	provided distribution 
config argv init 	neither name 
git config 	redis names 
free free 	contributors may 
free free free 	used 
argv clear 	endorse promote 
mkpath write file 	products derived 
path write 	software without 
file path write 	specific prior 
state text 	written permission 
start vfprintf putc 	software 
end lstat 	provided copyright 
isdir lstat path 	holders contributors 
isreg lstat 	express implied 
path isreg strbuf 	warranties including 
reset strbuf 	limited 
read file path 	implied warranties 
strbuf trim 	merchantability fitness 
die errno path 	particular purpose 
strbuf getline 	disclaimed shall 
skip prefix 	copyright owner 
skip prefix strbuf 	contributors 
dequote strbuf 	liable direct 
detach strbuf release 	indirect incidental 
path fopen 	special exemplary 
die errno read 	consequential damages 
shell fclose 	including limited 
read shell fclose 	procurement 
read shell 	substitute goods 
fclose fgetc fclose 	services loss 
fclose strbuf 	use data 
addstr quote buf 	profits business 
strbuf addch 	interruption however 
strbuf addstr quote 	caused 
buf strbuf 	theory liability 
addch strbuf addstr 	whether contract 
quote buf 	strict liability 
strbuf addch write 	tort including 
state text 	negligence otherwise 
strbuf release 	arising 
read state file 	way use 
strbuf release 	software even 
strbuf detach path 	advised possibility 
xopen write 	damage include 
full die errno 	best multiplexing 
close read 	layer 
state file die 	supported system 
strtol read 	following ordered 
state file die 	performances events 
strtol read 	mask none 
author script die 	initialize vector 
read commit 	current 
msg read state 	size resize 
file hashclr 	maximum size 
sha hex die 	loop requested 
path read 	size smaller 
state file strcmp 	current size 
read state 	already 
file strcmp 	file descriptor 
read state file 	use requested 
strcmp read 	size minus 
state file strcmp 	one err 
read state 	returned operation 
file strcmp strcmp 	performed 
read state 	otherwise returned 
file strcmp read 	operation successful 
state file 	make sure 
strcmp strcmp read 	created slots 
state file 	initialized none 
argv clear dequote 	mask 
argv die 	update max 
path file exists 	specified found 
path strbuf 	search first 
release strbuf addstr 	timer fire 
dir recursively 	operation useful 
strbuf release run 	know 
hook path 	many time 
free read 	put sleep 
commit msg die 	without delay 
path find 	timers returned 
hook argv push 	note since 
argv push 	time 
xopen path run 	events unsorted 
command close 	possible optimizations 
init copy notes 	needed redis 
rewrite xfopen 	far insert 
path strbuf getline 	order nearest 
error sha 	head 
hex error error 	much better 
sha hex 	still insertion 
error copy note 	deletion timers 
rewrite error 	use skiplist 
sha hex sha 	operation insertion 
hex finish 	log 
copy notes rewrite 	process time 
fclose strbuf 	events system 
release fseek 	clock moved 
die errno regcomp 	future back 
die strbuf 	right time 
getline regexec regfree 	events 
strbuf release 	may delayed 
strcmp directory xfopen 	random way 
strbuf getline 	often means 
starts starts starts 	scheduled operations 
strcmp strbuf 	performed soon 
reset strbuf getline 	enough 
strbuf reset 	detect system 
strbuf getline starts 	clock skews 
starts starts 	force time 
mail fclose strbuf 	events processed 
release argv 	asap happens 
push argv pushf 	idea 
argv pushf 	processing events 
argv push 	earlier less 
argv push argv 	dangerous delaying 
push argv 	indefinitely practice 
pushv capture command 	suggests processed 
strtol strcmp 	time 
fopen error strerror 	list may 
mkpath fopen 	longer restart 
error strerror fclose 	head still 
fclose error 	make sure 
strbuf getline str 	process events 
isspace skip 	registered 
prefix starts starts 	handlers order 
strbuf reset 	loop forever 
strbuf fread fwrite 	saved max 
strbuf reset 	want handle 
strbuf release error 	future optimizations 
xstrdup dirname 	note 
fopen error strerror 	great algorithmically 
strbuf getline 	redis uses 
argv push 	single time 
mkpath fclose strbuf 	problem right 
release free 	way elements 
split mail conv 	head 
argv clear 	flag deleted 
strbuf getline skip 	elements special 
prefix skip 	way later 
prefix strtoul error 	deletion putting 
skip prefix 	references nodes 
error strtol error 	another 
error labs 	linked list 
labs show date 	process every 
date mode 	pending time 
starts strbuf reset 	every pending 
strbuf fread 	file may 
fwrite strbuf reset 	registered 
strbuf release 	time callbacks 
free free free 	processed without 
free unlink 	special flags 
path unlink 	function sleeps 
path hashclr unlink 	file fires 
path sha 	next 
write state text 	time occurs 
sha hex 	flags function 
write state text 	nothing returns 
write state 	flags events 
count strbuf reset 	kind events 
strbuf addf 	processed 
xcalloc hold locked 	flags file 
index refresh 	events file 
cache write locked 	events processed 
index die 	flags time 
sha diff setup 	events time 
diff opt 	events 
diff opt diff 	processed flags 
cache diffcore 	dont wait 
std strbuf addch 	function returns 
strbuf addstr 	asap events 
diff flush 	possible process 
diff opt tst 	without 
strbuf addch 	wait processed 
strbuf addstr exit 	function returns 
strbuf addf 	number events 
fmt name getenv 	processed nothing 
getenv strcmp 	asap note 
strstr strchr strbuf 	want 
addstr strbuf 	call even 
release strbuf attach 	file events 
signoff strbuf 	process want 
detach setup mailinfo 	process time 
commit output 	events order 
encoding die die 	sleep 
fopen die 	next time 
fopen path die 	ready fire 
mailinfo path 	calculate time 
path die 	missing nearest 
fclose fclose xfopen 	timer fire 
path strbuf 	check 
getline skip prefix 	events need 
strbuf addch 	asap dont 
strbuf addstr skip 	wait need 
prefix strbuf 	timeout zero 
addstr skip prefix 	otherwise block 
strbuf addstr 	wait 
skip prefix strbuf 	forever note 
addstr fclose 	mask mask 
strcmp empty file 	code maybe 
path die 	already processed 
user resolve strbuf 	removed element 
addstr strbuf 	fired 
addbuf strbuf stripspace 	still didn 
signoff strbuf 	processed check 
detach strbuf detach 	still valid 
strbuf detach 	check time 
strbuf detach 	events number 
strbuf release strbuf 	processed 
release strbuf 	file time 
release strbuf release 	events wait 
strbuf release 	milliseconds given 
clear mailinfo xfopen 	file descriptor 
strbuf getline 	becomes writable 
skip prefix sha 	readable 
hex strbuf 	ae.h privdata 
release fclose logmsg 	mask privdata 
reencode commit 	mask privdata 
output encoding find 	loop privdata 
commit header 	loop privdata 
split ident line 	loop 
strbuf die 	privdata loop 
strbuf strbuf detach 	privdata loop 
xstrdup strbuf 	redis handle 
strbuf detach xstrdup 	read redis 
show ident 	handle write 
date date 	create 
mode strbuf addstr 	file file 
strbuf detach 	create file 
strstr die oid 	file redis 
hex xstrdup 	del read 
strlen xfopen path 	redis del 
init revisions 	write 
diff opt diff 	free malloc 
opt pending 	copyright pieter 
diff setup done 	noordhuis pcnoordhuis 
log commit 	gmail dot 
sha lookup lookup 	rights reserved 
xfopen path 	redistribution 
init revisions pending 	use source 
diff setup 	binary forms 
done run diff 	without modification 
index mail 	permitted provided 
commit sha die 	following conditions 
lookup commit 	met 
die commit 	redistributions source 
info write commit 	code must 
patch hashcpy 	retain copyright 
write state text 	notice list 
sha hex 	conditions following 
argv pushf argv 	disclaimer 
push argv 	redistributions binary 
pushv argv push 	form must 
argv push 	reproduce copyright 
argv push path 	notice list 
run command 	conditions following 
discard cache read 	disclaimer 
cache index 	documentation materials 
file argv push 	provided distribution 
argv pushv 	neither name 
argv pushf argv 	redis names 
push path 	contributors may 
run command 	used 
argv pushf sha 	endorse promote 
hex linelen 	products derived 
argv push argv 	software without 
push argv 	specific prior 
push sha hex 	written permission 
argv push 	software 
argv push sha 	provided copyright 
hex argv 	holders contributors 
push sha hex 	express implied 
run command 	warranties including 
discard cache read 	limited implied 
cache sha 	warranties 
hashcpy build fake 	merchantability fitness 
ancestor error 	particular purpose 
discard cache read 	disclaimed shall 
cache write 	copyright owner 
index error say 	contributors liable 
init revisions 	direct 
diff opt 	indirect incidental 
parse pending sha 	special exemplary 
diff setup 	consequential damages 
done run diff 	including limited 
index run 	procurement substitute 
apply error write 	goods 
index error 	services loss 
say discard cache 	use data 
read cache 	profits business 
run fallback merge 	interruption however 
recursive rerere 	caused theory 
error run hook 	liability 
exit write 	whether contract 
cache die sha 	strict liability 
commit commit 	tort including 
list insert lookup 	negligence otherwise 
commit say 	arising way 
fmt ident setenv 	use 
commit die 	software even 
getenv strbuf 	advised possibility 
addf linelen update 	damage nothing 
xfopen path 	attached something 
sha sha hex 	already attached 
sha hex 	create 
fclose run hook 	container context 
strbuf release 	events functions 
die path die 	start stop 
path isatty 	listening events 
die puts puts 	simple driven 
puts git 	programming 
prompt launch editor 	library originally 
path free 	wrote code 
strbuf detach strbuf 	jim loop 
release git 	jim tcl 
pager prepare pager 	interpreter later 
args argv 	translated 
push path run 	form library 
command unlink 	easy reuse 
path refresh 	copyright salvatore 
write cache index 	sanfilippo antirez 
changes write 	gmail dot 
state die strbuf 	rights 
release path 	reserved redistribution 
msgnum file exists 	use source 
validate resume 	binary forms 
state parse mail 	without modification 
rebase parse 	permitted provided 
mail write author 	following 
script write 	conditions met 
commit msg interactive 	redistributions source 
run applypatch 	code must 
msg hook exit 	retain copyright 
say linelen 	notice list 
run apply strbuf 	conditions 
addstr path 	following disclaimer 
fall back threeway 	redistributions binary 
strbuf release 	form must 
index changes 	reproduce copyright 
say msgnum linelen 	notice list 
git config 	conditions 
path die user 	following disclaimer 
resolve commit 	documentation materials 
next load empty 	provided distribution 
file path 	neither name 
copy notes rebase 	redis names 
run post 	contributors 
rewrite hook destroy 	may used 
close packs 	endorse promote 
run command opt 	products derived 
validate resume 	software without 
state say linelen 	specific prior 
index changes 	written 
die user resolve 	permission software 
unmerged cache 	provided copyright 
die user 	holders contributors 
resolve write index 	express implied 
patch interactive 	warranties including 
rerere commit next 	limited 
load run 	implied warranties 
parse parse xcalloc 	merchantability fitness 
hold locked 	particular purpose 
index refresh cache 	disclaimed shall 
memset init 	copyright owner 
desc init desc 	contributors 
unpack trees 	liable direct 
rollback file write 	indirect incidental 
locked index 	special exemplary 
die parse xcalloc 	consequential damages 
hold locked 	including limited 
index memset init 	procurement 
desc unpack 	substitute goods 
trees rollback file 	services loss 
write locked 	use data 
index die 	profits business 
parse indirect error 	interruption however 
sha hex 	caused 
parse indirect error 	theory liability 
sha hex 	whether contract 
read cache unmerged 	strict liability 
fast forward 	tort including 
write cache parse 	negligence otherwise 
indirect error 	arising 
sha hex fast 	way use 
forward merge 	software even 
branch state rerere 	advised possibility 
clear list 	damage macros 
clear rerere clear 	types data 
sha hashcpy 	structures 
clean index die 	file structure 
next load 	one readable 
run file exists 	writable time 
path read 	structure time 
state file 	seconds milliseconds 
sha hex die 	fired 
path hashclr 	state program 
sha hashclr hashcmp 	highest file 
error safe 	descriptor currently 
abort destroy rerere 	registered max 
clear resolve 	number file 
refdup sha hashcpy 	descriptors 
sha hashcpy 	tracked used 
clean index update 	detect system 
free destroy 	clock skew 
strcmp strcmp strcmp 	registered events 
strcmp error 	fired events 
git gpg config 	used 
git config 	polling api 
git config state 	specific data 
init git 	prototypes setsize 
path progress load 	loop loop 
parse options 	loop mask 
git committer 	proc 
info read index 	client data 
preload die 	loop mask 
isatty die append 	loop loop 
signoff file 	milliseconds proc 
exists destroy state 	client data 
release die 	finalizer 
die absolute path 	proc loop 
argv push 	loop flags 
argv push mkpath 	mask milliseconds 
setup argv 	loop loop 
clear run run 	beforesleep loop 
resolve skip 	loop 
abort die state 	setsize copyright 
release builtin 	pieter noordhuis 
git git junio 	pcnoordhuis gmail 
hamano returns 	dot rights 
file empty 	reserved redistribution 
exist otherwise returns 	use 
length first 	source binary 
line msg returns 	forms without 
str consists 	modification permitted 
whitespace otherwise pass 	provided following 
flag git 	conditions met 
mailinfo pass flag 	redistributions 
git mailinfo 	source code 
pass scissors git 	must retain 
mailinfo pass 	copyright notice 
scissors git mailinfo 	list conditions 
signoff command 	following disclaimer 
line state directory 	redistributions 
path current 	binary form 
last patch numbers 	must reproduce 
indexed commit 	copyright notice 
metadata message rebasing 	list conditions 
records original 	following 
commit patch 	disclaimer documentation 
came number digits 	materials provided 
patch filename 	distribution neither 
various operating modes 	name redis 
command line 	names contributors 
options signoff type 	may 
keep type 	used endorse 
scissors type initializes 	promote products 
state values 	derived software 
state directory dir 	without specific 
releases memory 	prior written 
allocated state returns 	permission 
path relative 	software provided 
state directory convenience 	copyright holders 
call write 	contributors express 
file state quiet 	implied warranties 
calls fmt 	including limited 
appends newline end 	implied 
returns session 	warranties merchantability 
progress otherwise 	fitness particular 
reads contents file 	purpose disclaimed 
state directory 	shall copyright 
returns number bytes 	owner contributors 
read success 	liable 
file exist trim 	direct indirect 
trailing whitespace 	incidental special 
removed reads key 	exemplary consequential 
shell variable 	damages including 
assignment returning newly 	limited procurement 
allocated must 	substitute 
quoted key must 	goods services 
match key 	loss use 
returns failure used 	data profits 
read author 	business interruption 
script read git 	however caused 
author variables 	theory 
author script reads 	liability whether 
parses state 	contract strict 
directory author 	liability tort 
script file sets 	including negligence 
state author 	otherwise arising 
name state author 	way 
email state 	use software 
author date accordingly 	even advised 
returns success 	possibility damage 
file could parsed 	nothing attached 
author script 	something already 
format git author 	attached 
name author 	create container 
name git author 	context events 
email author 	functions start 
email git author 	stop listening 
date author 	events simple 
date author name 	driven 
author email 	programming library 
author date 	originally wrote 
quoted strict parsing 	code jim 
file meant 	loop jim 
eval old git 	tcl interpreter 
script thus 	later 
file differs function 	translated form 
expects better 	library easy 
bail something user 	reuse copyright 
expect saves 	salvatore sanfilippo 
state author name 	antirez gmail 
state author 	dot 
email state author 	rights reserved 
date state 	redistribution use 
directory author script 	source binary 
file reads 	forms without 
commit message state 	modification permitted 
directory commit 	provided 
file setting state 	following conditions 
msg contents 	met redistributions 
state msg 	source code 
len length contents 	must retain 
bytes returns 	copyright notice 
success file exist 	list 
saves state 	conditions following 
msg state directory 	disclaimer redistributions 
commit file 	binary form 
loads state disk 	must reproduce 
removes state 	copyright notice 
directory forcefully terminating 	list 
current session 	conditions following 
runs applypatch msg 	disclaimer documentation 
hook returns 	materials provided 
exit code runs 	distribution neither 
post rewrite 	name redis 
hook returns exit 	names 
code reads 	contributors may 
state directory rewritten 	used endorse 
file copies 	promote products 
notes old 	derived software 
commits listed file 	without specific 
rewritten commits 	prior 
returns success failure 	written permission 
determines file 	software provided 
looks like piece 	copyright holders 
rfc mail 	contributors express 
grabbing non indented 	implied warranties 
lines checking 	including 
look like begin 	limited implied 
valid header 	warranties merchantability 
field names returns 	fitness particular 
file looks 	purpose disclaimed 
like piece mail 	shall copyright 
otherwise end 	owner 
header ignore indented 	contributors liable 
folded lines 	direct indirect 
header matches header 	incidental special 
regex attempts 	exemplary consequential 
detect patch 	damages including 
format patches contained 	limited 
paths returning 	procurement substitute 
patch format returns 	goods services 
patch format 	loss use 
unknown detection fails 	data profits 
mbox format 	business interruption 
input stdin directories 	however 
otherwise check 	caused theory 
first lines first 	liability whether 
patch starting 	contract strict 
first non blank 	liability tort 
line detect 	including negligence 
format second line 	otherwise 
empty third 	arising way 
author date entry 	use software 
likely git 	even advised 
patch splits individual 	possibility damage 
email patches 	macros types 
paths path 	data 
either mbox file 	structures file 
maildir returns 	structure one 
success failure callback 	readable writable 
signature split 	time structure 
mail conv foreign 	time seconds 
patch read 	milliseconds 
converted patch rfc 	fired state 
mail format 	program highest 
written success failure 	file descriptor 
calls file 	currently registered 
paths convert foreign 	max number 
patch rfc 	file 
mail format suitable 	descriptors tracked 
parsing git 	used detect 
mailinfo returns success 	system clock 
failure split 	skew registered 
mail conv 	events fired 
callback converts git 	events 
patch rfc 	used polling 
message suitable parsing 	api specific 
git mailinfo 	data prototypes 
function supports single 	ae.h privdata 
git series 	mask privdata 
file paths given 	mask 
git series 	privdata loop 
file converts git 	privdata loop 
patches series 	privdata loop 
rfc messages suitable 	privdata loop 
parsing git 	privdata loop 
mailinfo queues state 	redis 
directory returns 	handle read 
success failure skip 	redis handle 
comment lines 	write create 
split patches conv 	file file 
callback converts 	create file 
mercurial patch 	file 
rfc message suitable 	redis del 
parsing git 	read redis 
mailinfo mercurial timezone 	del write 
seconds west 	free malloc 
utc however git 	copyright pieter 
timezone hours 	noordhuis 
minutes east utc 	pcnoordhuis gmail 
convert splits 	dot rights 
list files directories 	reserved redistribution 
individual email 	use source 
patches path paths 	binary forms 
must file 	without 
directory formatted according 	modification permitted 
patch format 	provided following 
split individual email 	conditions met 
patches stored 	redistributions source 
state directory patch 	code must 
filename index 	retain 
padded state 	copyright notice 
prec digits state 	list conditions 
cur index 	following disclaimer 
first mail state 	redistributions binary 
last index 	form must 
last mail keep 	reproduce 
convert lines 	copyright notice 
ending end disable 	list conditions 
behavior use 	following disclaimer 
configured setting returns 	documentation materials 
success failure 	provided distribution 
setup session applying 	neither 
patches note 	name redis 
since next last 	names contributors 
files determine 	may used 
state session progress 	endorse promote 
written last 	products derived 
increments patch pointer 	software 
cleans state 	without specific 
application next 	prior written 
patch returns filename 	permission software 
current patch 	provided copyright 
email refresh write 	holders contributors 
index returns 	express 
index differs head 	implied warranties 
otherwise unborn 	including limited 
branch returns entries 	implied warranties 
index otherwise 	merchantability fitness 
strbuf provided space 	particular purpose 
separated list 	disclaimed 
files differ appended 	shall copyright 
dies user 	owner contributors 
friendly message proceed 	liable direct 
resolving problem 	indirect incidental 
message overridden state 	special exemplary 
resolvemsg end 	consequential 
sign need 	damages including 
duplicate text appends 	limited procurement 
signoff msg 	substitute goods 
field state parses 	services loss 
mail git 	use data 
mailinfo extracting patch 	profits 
authorship info 	business interruption 
state msg patch 	however caused 
message state 	theory liability 
author name state 	whether contract 
author email 	strict liability 
state author date 	tort 
patch author 	including negligence 
name email date 	otherwise arising 
respectively patch 	way use 
body written state 	software even 
directory patch 	advised possibility 
file returns patch 	damage 
skipped otherwise 	nothing attached 
extract message 	something already 
author information skip 	attached create 
pine folder 	container context 
data sets commit 	events functions 
commit hash 	start 
mail generated returns 	stop listening 
success failure 	events simple 
sets state msg 	driven programming 
state author 	library originally 
name state author 	wrote code 
email state 	jim 
author date commit 	loop jim 
