adlist.c list 	abspath.c path 
method list 	error caller immediately 
dup 	compare unmerged 
method function 	paths stage pass 
used copy 	original pathspec 
node otherwise 	parsed diff options 
pointer original 	unspecified told 
node used 	ignore adding removals 
copied 	takes arguments 
node original 	given turn git 
list success 	pathspec git 
error never 	pathspec check 
modified search 	pathspec match files 
list node 	block enabling 
matching 	magic git porcelain 
given key 	excludes picks 
match performed 	paths tracked file 
match method 	exists assumes 
list match 	exact match advice.c 
method match 	advice push 
method 	update rejected advice 
pointer every 	push non 
node directly 	current advice push 
compared key 	non matching 
pointer success 	advice push already 
first matching 	exists advice 
node 	push fetch first 
pointer returned 	advice push 
search starts 	needs force advice 
head matching 	status hints 
node exists 	advice status 
returned element 	option advice commit 
specified 	merge advice 
zero index 	resolve conflict advice 
head element 	identity advice 
next head 	detached head advice 
negative integers 	upstream failure 
used order 	advice name warning 
count 	advice hints 
tail last 	name preference advice 
element penultimate 	buf name 
index range 	fmt start strbuf 
returned rotate 	vaddf end 
list removing 	strchrnul strbuf release 
tail 	skip prefix 
node inserting 	size strcmp git 
head detach 	config error 
current tail 	advise error resolve 
move head 	conflict die 
adlist.h list 	error advise 
list 	die make backward 
list list 	compatibility message 
old node 	used git commit 
list node 	fails commands 
list direction 	merge advice.h advice 
iter iter 	push update 
orig 	rejected advice push 
list key 	non current 
list index 	advice push non 
list list 	matching advice 
list adlist 	push already exists 
doubly linked 	advice push 
list 	fetch first advice 
implementation copyright 	push needs 
salvatore sanfilippo 	force advice status 
antirez gmail 	hints advice 
dot rights 	status option advice 
reserved redistribution 	commit merge 
use 	advice resolve 
source binary 	conflict advice identity 
forms without 	advice detached 
modification permitted 	head advice upstream 
provided following 	failure advice 
conditions met 	name warning advice 
redistributions 	hints advice 
source code 	name advice alias.c 
must retain 	key split 
copyright notice 	cmdline errors cmdline 
list conditions 	argv src 
following disclaimer 	dst size quoted 
redistributions 	split cmdline 
binary form 	errno strbuf addf 
must reproduce 	git config 
copyright notice 	key valid git 
list conditions 	config strbuf 
following disclaimer 	release alloc isspace 
documentation 	isspace alloc 
materials provided 	grow free 
distribution neither 	free alloc grow 
name redis 	split skip 
names contributors 	alloc.c blob commit 
may used 	tag count 
endorse 	node size ret 
promote products 	blob state 
derived software 	state tag state 
without specific 	state obj 
prior written 	commit state count 
permission software 	name count 
provided 	size xmalloc memset 
copyright holders 	alloc node 
contributors express 	alloc node alloc 
implied warranties 	node alloc 
including limited 	node alloc node 
implied warranties 	alloc commit 
merchantability 	index report 
fitness particular 	report report report 
purpose disclaimed 	report alloc 
shall copyright 	specialized allocator objects 
owner contributors 	copyright linus 
liable direct 	torvalds standard malloc 
indirect 	free wastes 
incidental special 	much space objects 
exemplary consequential 	partly maintains 
damages including 	allocation infrastructure isn 
limited procurement 	needed since 
substitute goods 	never free descriptor 
services 	anyway even 
loss use 	ends maximal alignment 
data profits 	doesn know 
business interruption 	alignment allocation total 
however caused 	number nodes 
theory liability 	allocated number nodes 
whether 	left current 
contract strict 	allocation first 
liability tort 	free node current 
including negligence 	allocation alloca.h 
otherwise arising 	am.c filename msg 
way use 	str dir 
software 	cur last author 
even advised 	name author 
possibility damage 	email author date 
node list 	msg msg 
iterator data 	len orig commit 
structures used 	prec interactive 
currently 	threeway quiet signoff 
functions implemented 	utf keep 
macros prototypes 	message scissors git 
directions iterators 	apply opts 
adlist ae.c 	resolvemsg committer date 
setsize loop 	author date 
loop 	ignore date allow 
loop setsize 	rerere autoupdate 
loop loop 	sign commit 
loop mask 	rebasing state dir 
proc client 	gpgsign state 
data loop 	state path state 
mask 	name state 
loop seconds 	name state name 
milliseconds milliseconds 	state fmt 
sec cur 	state state file 
sec cur 	trim key 
sec loop 	str state filename 
milliseconds 	state state 
proc client 	state filename state 
data finalizer 	state state 
proc loop 	ret state hook 
prev loop 	ret state 
nearest loop 	invalid line msg 
processed 	ret obj 
max sec 	obj header regex 
retval loop 	regex ret 
flags numevents 	paths state 
shortest tvp 	paths keep last 
sec mask 	state paths 
rfired 	keep stdin mail 
mask milliseconds 	ret keep 
pfd retval 	subject printed str 
loop loop 	state paths 
beforesleep zmalloc 	keep series dir 
zmalloc zmalloc 	series dir 
time 	buf patches ret 
api create 	keep str 
zfree zfree 	timestamp end split 
zfree api 	mail setup 
resize zrealloc 	state head state 
zrealloc api 	file head 
free 	opt state cmdline 
zfree zfree 	mine state 
zfree api 	state mail 
api del 	msg author name 
gettimeofday time 	author date 
zmalloc milliseconds 	author email ret 
finalizer 	commit mail 
proc zfree 	state commit buffer 
time time 	ident line 
time proc 	author date msg 
milliseconds time 	ident len 
search nearest 	ident split state 
timer 	commit rev 
time api 	info state head 
poll rfile 	rev info 
proc wfile 	state mail commit 
proc process 	commit sha 
time events 	state index file 
memset 	state index 
poll beforesleep 	file state orig 
process events 	status state 
api name 	index path 
simple driven 	orig rev info 
programming library 	diff filter 
originally 	str state parent 
wrote code 	commit ptr 
jim loop 	parents reflog msg 
jim tcl 	author state 
interpreter later 	state reply msg 
translated form 	pager state 
library 	resume argv mail 
easy reuse 	apply status 
copyright salvatore 	skip advice amworkdir 
sanfilippo antirez 	state head 
gmail dot 	remote reset file 
rights reserved 	opts file 
redistribution 	opts head remote 
use source 	head remote 
binary forms 	index index merge 
without modification 	state head 
permitted provided 	state abort 
following conditions 	safety head state 
met 	curr head 
redistributions source 	orig head curr 
code must 	head orig 
retain copyright 	head curr branch 
notice list 	opt arg 
conditions following 	unset opt status 
disclaimer 	argc argv 
redistributions binary 	prefix state binary 
form must 	keep patch 
reproduce copyright 	format progress usage 
notice list 	options paths 
conditions following 	stat die errno 
disclaimer 	strchrnul isspace 
documentation materials 	memset xstrdup git 
provided distribution 	config git 
neither name 	config argv init 
redis names 	git config 
contributors may 	free free 
used 	free free free 
endorse promote 	argv clear 
products derived 	mkpath write file 
software without 	path write 
specific prior 	file path write 
written permission 	state text 
software 	start vfprintf putc 
provided copyright 	end lstat 
holders contributors 	isdir lstat path 
express implied 	isreg lstat 
warranties including 	path isreg strbuf 
limited 	reset strbuf 
implied warranties 	read file path 
merchantability fitness 	strbuf trim 
particular purpose 	die errno path 
disclaimed shall 	strbuf getline 
copyright owner 	skip prefix 
contributors 	skip prefix strbuf 
liable direct 	dequote strbuf 
indirect incidental 	detach strbuf release 
special exemplary 	path fopen 
consequential damages 	die errno read 
including limited 	shell fclose 
procurement 	read shell fclose 
substitute goods 	read shell 
services loss 	fclose fgetc fclose 
use data 	fclose strbuf 
profits business 	addstr quote buf 
interruption however 	strbuf addch 
caused 	strbuf addstr quote 
theory liability 	buf strbuf 
whether contract 	addch strbuf addstr 
strict liability 	quote buf 
tort including 	strbuf addch write 
negligence otherwise 	state text 
arising 	strbuf release 
way use 	read state file 
software even 	strbuf release 
advised possibility 	strbuf detach path 
damage include 	xopen write 
best multiplexing 	full die errno 
layer 	close read 
supported system 	state file die 
following ordered 	strtol read 
performances events 	state file die 
mask none 	strtol read 
initialize vector 	author script die 
current 	read commit 
size resize 	msg read state 
maximum size 	file hashclr 
loop requested 	sha hex die 
size smaller 	path read 
current size 	state file strcmp 
already 	read state 
file descriptor 	file strcmp 
use requested 	read state file 
size minus 	strcmp read 
one err 	state file strcmp 
returned operation 	read state 
performed 	file strcmp strcmp 
otherwise returned 	read state 
operation successful 	file strcmp read 
make sure 	state file 
created slots 	strcmp strcmp read 
initialized none 	state file 
mask 	argv clear dequote 
update max 	argv die 
specified found 	path file exists 
search first 	path strbuf 
timer fire 	release strbuf addstr 
operation useful 	dir recursively 
know 	strbuf release run 
many time 	hook path 
put sleep 	free read 
without delay 	commit msg die 
timers returned 	path find 
note since 	hook argv push 
time 	argv push 
events unsorted 	xopen path run 
possible optimizations 	command close 
needed redis 	init copy notes 
far insert 	rewrite xfopen 
order nearest 	path strbuf getline 
head 	error sha 
much better 	hex error error 
still insertion 	sha hex 
deletion timers 	error copy note 
use skiplist 	rewrite error 
operation insertion 	sha hex sha 
log 	hex finish 
process time 	copy notes rewrite 
events system 	fclose strbuf 
clock moved 	release fseek 
future back 	die errno regcomp 
right time 	die strbuf 
events 	getline regexec regfree 
may delayed 	strbuf release 
random way 	strcmp directory xfopen 
often means 	strbuf getline 
scheduled operations 	starts starts starts 
performed soon 	strcmp strbuf 
enough 	reset strbuf getline 
detect system 	strbuf reset 
clock skews 	strbuf getline starts 
force time 	starts starts 
events processed 	mail fclose strbuf 
asap happens 	release argv 
idea 	push argv pushf 
processing events 	argv pushf 
earlier less 	argv push 
dangerous delaying 	argv push argv 
indefinitely practice 	push argv 
suggests processed 	pushv capture command 
time 	strtol strcmp 
list may 	fopen error strerror 
longer restart 	mkpath fopen 
head still 	error strerror fclose 
make sure 	fclose error 
process events 	strbuf getline str 
registered 	isspace skip 
handlers order 	prefix starts starts 
loop forever 	strbuf reset 
saved max 	strbuf fread fwrite 
want handle 	strbuf reset 
future optimizations 	strbuf release error 
note 	xstrdup dirname 
great algorithmically 	fopen error strerror 
redis uses 	strbuf getline 
single time 	argv push 
problem right 	mkpath fclose strbuf 
way elements 	release free 
head 	split mail conv 
flag deleted 	argv clear 
elements special 	strbuf getline skip 
way later 	prefix skip 
deletion putting 	prefix strtoul error 
references nodes 	skip prefix 
another 	error strtol error 
linked list 	error labs 
process every 	labs show date 
pending time 	date mode 
every pending 	starts strbuf reset 
file may 	strbuf fread 
registered 	fwrite strbuf reset 
time callbacks 	strbuf release 
processed without 	free free free 
special flags 	free unlink 
function sleeps 	path unlink 
file fires 	path hashclr unlink 
next 	path sha 
time occurs 	write state text 
flags function 	sha hex 
nothing returns 	write state text 
flags events 	write state 
kind events 	count strbuf reset 
processed 	strbuf addf 
flags file 	xcalloc hold locked 
events file 	index refresh 
events processed 	cache write locked 
flags time 	index die 
events time 	sha diff setup 
events 	diff opt 
processed flags 	diff opt diff 
dont wait 	cache diffcore 
function returns 	std strbuf addch 
asap events 	strbuf addstr 
possible process 	diff flush 
without 	diff opt tst 
wait processed 	strbuf addch 
function returns 	strbuf addstr exit 
number events 	strbuf addf 
processed nothing 	fmt name getenv 
asap note 	getenv strcmp 
want 	strstr strchr strbuf 
call even 	addstr strbuf 
file events 	release strbuf attach 
process want 	signoff strbuf 
process time 	detach setup mailinfo 
events order 	commit output 
sleep 	encoding die die 
next time 	fopen die 
ready fire 	fopen path die 
calculate time 	mailinfo path 
missing nearest 	path die 
timer fire 	fclose fclose xfopen 
check 	path strbuf 
events need 	getline skip prefix 
asap dont 	strbuf addch 
wait need 	strbuf addstr skip 
timeout zero 	prefix strbuf 
otherwise block 	addstr skip prefix 
wait 	strbuf addstr 
forever note 	skip prefix strbuf 
mask mask 	addstr fclose 
code maybe 	strcmp empty file 
already processed 	path die 
removed element 	user resolve strbuf 
fired 	addstr strbuf 
still didn 	addbuf strbuf stripspace 
processed check 	signoff strbuf 
still valid 	detach strbuf detach 
check time 	strbuf detach 
events number 	strbuf detach 
processed 	strbuf release strbuf 
file time 	release strbuf 
events wait 	release strbuf release 
milliseconds given 	strbuf release 
file descriptor 	clear mailinfo xfopen 
becomes writable 	strbuf getline 
readable 	skip prefix sha 
ae.h privdata 	hex strbuf 
mask privdata 	release fclose logmsg 
mask privdata 	reencode commit 
loop privdata 	output encoding find 
loop privdata 	commit header 
loop 	split ident line 
privdata loop 	strbuf die 
privdata loop 	strbuf strbuf detach 
redis handle 	xstrdup strbuf 
read redis 	strbuf detach xstrdup 
handle write 	show ident 
create 	date date 
file file 	mode strbuf addstr 
create file 	strbuf detach 
file redis 	strstr die oid 
del read 	hex xstrdup 
redis del 	strlen xfopen path 
write 	init revisions 
free malloc 	diff opt diff 
copyright pieter 	opt pending 
noordhuis pcnoordhuis 	diff setup done 
gmail dot 	log commit 
rights reserved 	sha lookup lookup 
redistribution 	xfopen path 
use source 	init revisions pending 
binary forms 	diff setup 
without modification 	done run diff 
permitted provided 	index mail 
following conditions 	commit sha die 
met 	lookup commit 
redistributions source 	die commit 
code must 	info write commit 
retain copyright 	patch hashcpy 
notice list 	write state text 
conditions following 	sha hex 
disclaimer 	argv pushf argv 
redistributions binary 	push argv 
form must 	pushv argv push 
reproduce copyright 	argv push 
notice list 	argv push path 
conditions following 	run command 
disclaimer 	discard cache read 
documentation materials 	cache index 
provided distribution 	file argv push 
neither name 	argv pushv 
redis names 	argv pushf argv 
contributors may 	push path 
used 	run command 
endorse promote 	argv pushf sha 
products derived 	hex linelen 
software without 	argv push argv 
specific prior 	push argv 
written permission 	push sha hex 
software 	argv push 
provided copyright 	argv push sha 
holders contributors 	hex argv 
express implied 	push sha hex 
warranties including 	run command 
limited implied 	discard cache read 
warranties 	cache sha 
merchantability fitness 	hashcpy build fake 
particular purpose 	ancestor error 
disclaimed shall 	discard cache read 
copyright owner 	cache write 
contributors liable 	index error say 
direct 	init revisions 
indirect incidental 	diff opt 
special exemplary 	parse pending sha 
consequential damages 	diff setup 
including limited 	done run diff 
procurement substitute 	index run 
goods 	apply error write 
services loss 	index error 
use data 	say discard cache 
profits business 	read cache 
interruption however 	run fallback merge 
caused theory 	recursive rerere 
liability 	error run hook 
whether contract 	exit write 
strict liability 	cache die sha 
tort including 	commit commit 
negligence otherwise 	list insert lookup 
arising way 	commit say 
use 	fmt ident setenv 
software even 	commit die 
advised possibility 	getenv strbuf 
damage nothing 	addf linelen update 
attached something 	xfopen path 
already attached 	sha sha hex 
create 	sha hex 
container context 	fclose run hook 
events functions 	strbuf release 
start stop 	die path die 
listening events 	path isatty 
simple driven 	die puts puts 
programming 	puts git 
library originally 	prompt launch editor 
wrote code 	path free 
jim loop 	strbuf detach strbuf 
jim tcl 	release git 
interpreter later 	pager prepare pager 
translated 	args argv 
form library 	push path run 
easy reuse 	command unlink 
copyright salvatore 	path refresh 
sanfilippo antirez 	write cache index 
gmail dot 	changes write 
rights 	state die strbuf 
reserved redistribution 	release path 
use source 	msgnum file exists 
binary forms 	validate resume 
without modification 	state parse mail 
permitted provided 	rebase parse 
following 	mail write author 
conditions met 	script write 
redistributions source 	commit msg interactive 
code must 	run applypatch 
retain copyright 	msg hook exit 
notice list 	say linelen 
conditions 	run apply strbuf 
following disclaimer 	addstr path 
redistributions binary 	fall back threeway 
form must 	strbuf release 
reproduce copyright 	index changes 
notice list 	say msgnum linelen 
conditions 	git config 
following disclaimer 	path die user 
documentation materials 	resolve commit 
provided distribution 	next load empty 
neither name 	file path 
redis names 	copy notes rebase 
contributors 	run post 
may used 	rewrite hook destroy 
endorse promote 	close packs 
products derived 	run command opt 
software without 	validate resume 
specific prior 	state say linelen 
written 	index changes 
permission software 	die user resolve 
provided copyright 	unmerged cache 
holders contributors 	die user 
express implied 	resolve write index 
warranties including 	patch interactive 
limited 	rerere commit next 
implied warranties 	load run 
merchantability fitness 	parse parse xcalloc 
particular purpose 	hold locked 
disclaimed shall 	index refresh cache 
copyright owner 	memset init 
contributors 	desc init desc 
liable direct 	unpack trees 
indirect incidental 	rollback file write 
special exemplary 	locked index 
consequential damages 	die parse xcalloc 
including limited 	hold locked 
procurement 	index memset init 
substitute goods 	desc unpack 
services loss 	trees rollback file 
use data 	write locked 
profits business 	index die 
interruption however 	parse indirect error 
caused 	sha hex 
theory liability 	parse indirect error 
whether contract 	sha hex 
strict liability 	read cache unmerged 
tort including 	fast forward 
negligence otherwise 	write cache parse 
arising 	indirect error 
way use 	sha hex fast 
software even 	forward merge 
advised possibility 	branch state rerere 
damage macros 	clear list 
types data 	clear rerere clear 
structures 	sha hashcpy 
file structure 	clean index die 
one readable 	next load 
writable time 	run file exists 
structure time 	path read 
seconds milliseconds 	state file 
fired 	sha hex die 
state program 	path hashclr 
highest file 	sha hashclr hashcmp 
descriptor currently 	error safe 
registered max 	abort destroy rerere 
number file 	clear resolve 
descriptors 	refdup sha hashcpy 
tracked used 	sha hashcpy 
detect system 	clean index update 
clock skew 	free destroy 
registered events 	strcmp strcmp strcmp 
fired events 	strcmp error 
used 	git gpg config 
polling api 	git config 
specific data 	git config state 
prototypes setsize 	init git 
loop loop 	path progress load 
loop mask 	parse options 
proc 	git committer 
client data 	info read index 
loop mask 	preload die 
loop loop 	isatty die append 
milliseconds proc 	signoff file 
client data 	exists destroy state 
finalizer 	release die 
proc loop 	die absolute path 
loop flags 	argv push 
mask milliseconds 	argv push mkpath 
loop loop 	setup argv 
beforesleep loop 	clear run run 
loop 	resolve skip 
setsize copyright 	abort die state 
pieter noordhuis 	release builtin 
pcnoordhuis gmail 	git git junio 
dot rights 	hamano returns 
reserved redistribution 	file empty 
use 	exist otherwise returns 
source binary 	length first 
forms without 	line msg returns 
modification permitted 	str consists 
provided following 	whitespace otherwise pass 
conditions met 	flag git 
redistributions 	mailinfo pass flag 
source code 	git mailinfo 
must retain 	pass scissors git 
copyright notice 	mailinfo pass 
list conditions 	scissors git mailinfo 
following disclaimer 	signoff command 
redistributions 	line state directory 
binary form 	path current 
must reproduce 	last patch numbers 
copyright notice 	indexed commit 
list conditions 	metadata message rebasing 
following 	records original 
disclaimer documentation 	commit patch 
materials provided 	came number digits 
distribution neither 	patch filename 
name redis 	various operating modes 
names contributors 	command line 
may 	options signoff type 
used endorse 	keep type 
promote products 	scissors type initializes 
derived software 	state values 
without specific 	state directory dir 
prior written 	releases memory 
permission 	allocated state returns 
software provided 	path relative 
copyright holders 	state directory convenience 
contributors express 	call write 
implied warranties 	file state quiet 
including limited 	calls fmt 
implied 	appends newline end 
warranties merchantability 	returns session 
fitness particular 	progress otherwise 
purpose disclaimed 	reads contents file 
shall copyright 	state directory 
owner contributors 	returns number bytes 
liable 	read success 
direct indirect 	file exist trim 
incidental special 	trailing whitespace 
exemplary consequential 	removed reads key 
damages including 	shell variable 
limited procurement 	assignment returning newly 
substitute 	allocated must 
goods services 	quoted key must 
loss use 	match key 
data profits 	returns failure used 
business interruption 	read author 
however caused 	script read git 
theory 	author variables 
liability whether 	author script reads 
contract strict 	parses state 
liability tort 	directory author 
including negligence 	script file sets 
otherwise arising 	state author 
way 	name state author 
use software 	email state 
even advised 	author date accordingly 
possibility damage 	returns success 
nothing attached 	file could parsed 
something already 	author script 
attached 	format git author 
create container 	name author 
context events 	name git author 
functions start 	email author 
stop listening 	email git author 
events simple 	date author 
driven 	date author name 
programming library 	author email 
originally wrote 	author date 
code jim 	quoted strict parsing 
loop jim 	file meant 
tcl interpreter 	eval old git 
later 	script thus 
translated form 	file differs function 
library easy 	expects better 
reuse copyright 	bail something user 
salvatore sanfilippo 	expect saves 
antirez gmail 	state author name 
dot 	state author 
rights reserved 	email state author 
redistribution use 	date state 
source binary 	directory author script 
forms without 	file reads 
modification permitted 	commit message state 
provided 	directory commit 
following conditions 	file setting state 
met redistributions 	msg contents 
source code 	state msg 
must retain 	len length contents 
copyright notice 	bytes returns 
list 	success file exist 
conditions following 	saves state 
disclaimer redistributions 	msg state directory 
binary form 	commit file 
must reproduce 	loads state disk 
copyright notice 	removes state 
list 	directory forcefully terminating 
conditions following 	current session 
disclaimer documentation 	runs applypatch msg 
materials provided 	hook returns 
distribution neither 	exit code runs 
name redis 	post rewrite 
names 	hook returns exit 
contributors may 	code reads 
used endorse 	state directory rewritten 
promote products 	file copies 
derived software 	notes old 
without specific 	commits listed file 
prior 	rewritten commits 
written permission 	returns success failure 
software provided 	determines file 
copyright holders 	looks like piece 
contributors express 	rfc mail 
implied warranties 	grabbing non indented 
including 	lines checking 
limited implied 	look like begin 
warranties merchantability 	valid header 
fitness particular 	field names returns 
purpose disclaimed 	file looks 
shall copyright 	like piece mail 
owner 	otherwise end 
contributors liable 	header ignore indented 
direct indirect 	folded lines 
incidental special 	header matches header 
exemplary consequential 	regex attempts 
damages including 	detect patch 
limited 	format patches contained 
procurement substitute 	paths returning 
goods services 	patch format returns 
loss use 	patch format 
data profits 	unknown detection fails 
business interruption 	mbox format 
however 	input stdin directories 
caused theory 	otherwise check 
liability whether 	first lines first 
contract strict 	patch starting 
liability tort 	first non blank 
including negligence 	line detect 
otherwise 	format second line 
arising way 	empty third 
use software 	author date entry 
even advised 	likely git 
possibility damage 	patch splits individual 
macros types 	email patches 
data 	paths path 
structures file 	either mbox file 
structure one 	maildir returns 
readable writable 	success failure callback 
time structure 	signature split 
time seconds 	mail conv foreign 
milliseconds 	patch read 
fired state 	converted patch rfc 
program highest 	mail format 
file descriptor 	written success failure 
currently registered 	calls file 
max number 	paths convert foreign 
file 	patch rfc 
descriptors tracked 	mail format suitable 
used detect 	parsing git 
system clock 	mailinfo returns success 
skew registered 	failure split 
events fired 	mail conv 
events 	callback converts git 
used polling 	patch rfc 
api specific 	message suitable parsing 
data prototypes 	git mailinfo 
ae.h privdata 	function supports single 
mask privdata 	git series 
mask 	file paths given 
privdata loop 	git series 
privdata loop 	file converts git 
privdata loop 	patches series 
privdata loop 	rfc messages suitable 
privdata loop 	parsing git 
redis 	mailinfo queues state 
handle read 	directory returns 
redis handle 	success failure skip 
write create 	comment lines 
file file 	split patches conv 
create file 	callback converts 
file 	mercurial patch 
redis del 	rfc message suitable 
read redis 	parsing git 
del write 	mailinfo mercurial timezone 
free malloc 	seconds west 
copyright pieter 	utc however git 
noordhuis 	timezone hours 
pcnoordhuis gmail 	minutes east utc 
dot rights 	convert splits 
reserved redistribution 	list files directories 
use source 	individual email 
binary forms 	patches path paths 
without 	must file 
modification permitted 	directory formatted according 
provided following 	patch format 
conditions met 	split individual email 
redistributions source 	patches stored 
code must 	state directory patch 
retain 	filename index 
copyright notice 	padded state 
list conditions 	prec digits state 
following disclaimer 	cur index 
redistributions binary 	first mail state 
form must 	last index 
reproduce 	last mail keep 
copyright notice 	convert lines 
list conditions 	ending end disable 
following disclaimer 	behavior use 
documentation materials 	configured setting returns 
provided distribution 	success failure 
neither 	setup session applying 
name redis 	patches note 
names contributors 	since next last 
may used 	files determine 
endorse promote 	state session progress 
products derived 	written last 
software 	increments patch pointer 
without specific 	cleans state 
prior written 	application next 
permission software 	patch returns filename 
provided copyright 	current patch 
holders contributors 	email refresh write 
express 	index returns 
implied warranties 	index differs head 
including limited 	otherwise unborn 
implied warranties 	branch returns entries 
merchantability fitness 	index otherwise 
particular purpose 	strbuf provided space 
disclaimed 	separated list 
shall copyright 	files differ appended 
owner contributors 	dies user 
liable direct 	friendly message proceed 
indirect incidental 	resolving problem 
special exemplary 	message overridden state 
consequential 	resolvemsg end 
damages including 	sign need 
limited procurement 	duplicate text appends 
substitute goods 	signoff msg 
services loss 	field state parses 
use data 	mail git 
profits 	mailinfo extracting patch 
business interruption 	authorship info 
however caused 	state msg patch 
theory liability 	message state 
whether contract 	author name state 
strict liability 	author email 
tort 	state author date 
including negligence 	patch author 
otherwise arising 	name email date 
way use 	respectively patch 
software even 	body written state 
advised possibility 	directory patch 
damage 	file returns patch 
nothing attached 	skipped otherwise 
something already 	extract message 
attached create 	author information skip 
container context 	pine folder 
events functions 	data sets commit 
start 	commit hash 
stop listening 	mail generated returns 
events simple 	success failure 
driven programming 	sets state msg 
library originally 	state author 
wrote code 	name state author 
jim 	email state 
loop jim 	author date commit 
